Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology,Is Correct Abbreviation,Expected Abbreviation
10/06/2020,10/07/2020,Hunts Point,HP,1051.0,605000.0,,755948,RT-qPCR,True,HP
10/06/2020,10/07/2020,Jamaica Bay,JA,1317.0,481000.0,,748737,RT-qPCR,False,JB
10/06/2020,10/07/2020,Newtown Creek,NC,1448.0,796000.0,,1156473,RT-qPCR,True,NC
10/06/2020,10/07/2020,North River,NR,823.0,412000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,RT-qPCR,True,NR
10/06/2020,10/07/2020,Oakwood Beach,OB,3108.0,1050000.0,,258731,RT-qPCR,True,OB
10/06/2020,10/07/2020,Owls Head,OH,5824.0,2140000.0,,906442,RT-qPCR,True,OH
10/06/2020,10/07/2020,Port Richmond,PR,1403.0,524000.0,,226167,RT-qPCR,True,PR
10/06/2020,10/07/2020,Red Hook,RH,878.0,326000.0,,224029,RT-qPCR,True,RH
10/06/2020,10/07/2020,Rockaway,RK,1055.0,696000.0,,120539,RT-qPCR,False,R
10/06/2020,10/07/2020,Tallman Island,TI,586.0,247000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR,True,TI
10/06/2020,10/07/2020,Wards Island,WI,1152.0,614000.0,,1201485,RT-qPCR,True,WI
10/11/2020,10/12/2020,26th Ward,26W,569.0,371000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR,True,26W
10/11/2020,10/12/2020,Bowery Bay,BB,3340.0,1180000.0,,924695,RT-qPCR,True,BB
10/11/2020,10/12/2020,Coney Island,CI,1661.0,719000.0,,682342,RT-qPCR,True,CI
10/11/2020,10/12/2020,Hunts Point,HP,846.0,496000.0,,755948,RT-qPCR,True,HP
10/11/2020,10/12/2020,Jamaica Bay,JA,1570.0,583000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,RT-qPCR,False,JB
10/11/2020,10/12/2020,Newtown Creek,NC,682.0,386000.0,,1156473,RT-qPCR,True,NC
10/11/2020,10/12/2020,North River,NR,333.0,171000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596,RT-qPCR,True,NR
10/11/2020,10/12/2020,Oakwood Beach,OB,2106.0,730000.0,,258731,RT-qPCR,True,OB
10/11/2020,10/12/2020,Owls Head,OH,6038.0,2550000.0,,906442,RT-qPCR,True,OH
10/11/2020,10/12/2020,Port Richmond,PR,1489.0,573000.0,,226167,RT-qPCR,True,PR
10/11/2020,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,RT-qPCR,True,RH
10/11/2020,10/12/2020,Rockaway,RK,1078.0,609000.0,,120539,RT-qPCR,False,R
10/11/2020,10/12/2020,Tallman Island,TI,626.0,279000.0,,449907,RT-qPCR,True,TI
10/11/2020,10/12/2020,Wards Island,WI,600.0,321000.0,,1201485,RT-qPCR,True,WI
10/13/2020,10/14/2020,26th Ward,26W,1351.0,862000.0,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",290608,RT-qPCR,True,26W
10/13/2020,10/14/2020,Bowery Bay,BB,2338.0,1240000.0,,924695,RT-qPCR,True,BB
10/13/2020,10/14/2020,Coney Island,CI,13884.0,7010000.0,,682342,RT-qPCR,True,CI
10/13/2020,10/14/2020,Hunts Point,HP,1822.0,1410000.0,,755948,RT-qPCR,True,HP
10/13/2020,10/14/2020,Jamaica Bay,JA,2170.0,867000.0,,748737,RT-qPCR,False,JB
10/13/2020,10/14/2020,Newtown Creek,NC,2102.0,1420000.0,,1156473,RT-qPCR,True,NC
10/13/2020,10/14/2020,North River,NR,1011.0,610000.0,,658596,RT-qPCR,True,NR
10/13/2020,10/14/2020,Oakwood Beach,OB,1713.0,794000.0,,258731,RT-qPCR,True,OB
10/13/2020,10/14/2020,Owls Head,OH,4672.0,1890000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,RT-qPCR,True,OH
10/13/2020,10/14/2020,Port Richmond,PR,2006.0,1050000.0,,226167,RT-qPCR,True,PR
10/13/2020,10/14/2020,Red Hook,RH,1295.0,635000.0,,224029,RT-qPCR,True,RH
10/13/2020,10/14/2020,Rockaway,RK,1044.0,689000.0,,120539,RT-qPCR,False,R
10/13/2020,10/14/2020,Tallman Island,TI,540.0,309000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR,True,TI
10/13/2020,10/14/2020,Wards Island,WI,2066.0,1330000.0,,1201485,RT-qPCR,True,WI
10/18/2020,10/19/2020,26th Ward,26W,589.0,361000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,290608,RT-qPCR,True,26W
10/18/2020,10/19/2020,Bowery Bay,BB,3925.0,1540000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,924695,RT-qPCR,True,BB
10/18/2020,10/19/2020,Coney Island,CI,2615.0,1200000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,682342,RT-qPCR,True,CI
10/18/2020,10/19/2020,Hunts Point,HP,2565.0,1500000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,755948,RT-qPCR,True,HP
10/18/2020,10/19/2020,Jamaica Bay,JA,1313.0,519000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,748737,RT-qPCR,False,JB
10/18/2020,10/19/2020,Newtown Creek,NC,6101.0,3350000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1156473,RT-qPCR,True,NC
10/18/2020,10/19/2020,North River,NR,1479.0,765000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,658596,RT-qPCR,True,NR
10/18/2020,10/19/2020,Oakwood Beach,OB,1793.0,748000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,258731,RT-qPCR,True,OB
10/18/2020,10/19/2020,Owls Head,OH,7750.0,2820000.0,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,906442,RT-qPCR,True,OH
